name,discriminator,properties,opacity,receivesLight,insubstantial,resource,tileEntity,tileEntityId,treeRelated,vegetation,blockLight,natural,watery,colour
"rainbow:blue_50_block",,,15,true,true,false,false,,false,false,0,true,false,ffffffff
"rainbow:blue_50_plate",,,15,true,true,false,false,,false,false,0,true,false,ffffffff
"rainbow:blue_50_lit",,,15,true,true,false,false,,false,false,15,true,false,ffffffff
"rainbow:blue_50_lamp",,,15,true,true,false,false,,false,false,15,true,false,ffffffff
"rainbow:blue_50_glass",,,5,true,true,false,false,,false,false,0,true,false,ffffffff
"rainbow:blue_100_block",,,15,true,true,false,false,,false,false,0,true,false,ffffffff
"rainbow:blue_100_plate",,,15,true,true,false,false,,false,false,0,true,false,ffffffff
"rainbow:blue_100_lit",,,15,true,true,false,false,,false,false,15,true,false,ffffffff
"rainbow:blue_100_lamp",,,15,true,true,false,false,,false,false,15,true,false,ffffffff
"rainbow:blue_100_glass",,,5,true,true,false,false,,false,false,0,true,false,ffffffff
"rainbow:blue_200_block",,,15,true,true,false,false,,false,false,0,true,false,fff2ffff
"rainbow:blue_200_plate",,,15,true,true,false,false,,false,false,0,true,false,fff2ffff
"rainbow:blue_200_lit",,,15,true,true,false,false,,false,false,15,true,false,fff2ffff
"rainbow:blue_200_lamp",,,15,true,true,false,false,,false,false,15,true,false,fff2ffff
"rainbow:blue_200_glass",,,5,true,true,false,false,,false,false,0,true,false,fff2ffff
"rainbow:blue_300_block",,,15,true,true,false,false,,false,false,0,true,false,ff9cb2f6
"rainbow:blue_300_plate",,,15,true,true,false,false,,false,false,0,true,false,ff9cb2f6
"rainbow:blue_300_lit",,,15,true,true,false,false,,false,false,15,true,false,ff9cb2f6
"rainbow:blue_300_lamp",,,15,true,true,false,false,,false,false,15,true,false,ff9cb2f6
"rainbow:blue_300_glass",,,5,true,true,false,false,,false,false,0,true,false,ff9cb2f6
"rainbow:blue_400_block",,,15,true,true,false,false,,false,false,0,true,false,ff586fb8
"rainbow:blue_400_plate",,,15,true,true,false,false,,false,false,0,true,false,ff586fb8
"rainbow:blue_400_lit",,,15,true,true,false,false,,false,false,15,true,false,ff586fb8
"rainbow:blue_400_lamp",,,15,true,true,false,false,,false,false,15,true,false,ff586fb8
"rainbow:blue_400_glass",,,5,true,true,false,false,,false,false,0,true,false,ff586fb8
"rainbow:blue_500_block",,,15,true,true,false,false,,false,false,0,true,false,ff324691
"rainbow:blue_500_plate",,,15,true,true,false,false,,false,false,0,true,false,ff324691
"rainbow:blue_500_lit",,,15,true,true,false,false,,false,false,15,true,false,ff324691
"rainbow:blue_500_lamp",,,15,true,true,false,false,,false,false,15,true,false,ff324691
"rainbow:blue_500_glass",,,5,true,true,false,false,,false,false,0,true,false,ff324691
"rainbow:blue_600_block",,,15,true,true,false,false,,false,false,0,true,false,ff263661
"rainbow:blue_600_plate",,,15,true,true,false,false,,false,false,0,true,false,ff263661
"rainbow:blue_600_lit",,,15,true,true,false,false,,false,false,15,true,false,ff263661
"rainbow:blue_600_lamp",,,15,true,true,false,false,,false,false,15,true,false,ff263661
"rainbow:blue_600_glass",,,5,true,true,false,false,,false,false,0,true,false,ff263661
"rainbow:blue_700_block",,,15,true,true,false,false,,false,false,0,true,false,ff1b2136
"rainbow:blue_700_plate",,,15,true,true,false,false,,false,false,0,true,false,ff1b2136
"rainbow:blue_700_lit",,,15,true,true,false,false,,false,false,15,true,false,ff1b2136
"rainbow:blue_700_lamp",,,15,true,true,false,false,,false,false,15,true,false,ff1b2136
"rainbow:blue_700_glass",,,5,true,true,false,false,,false,false,0,true,false,ff1b2136
"rainbow:blue_800_block",,,15,true,true,false,false,,false,false,0,true,false,ff141821
"rainbow:blue_800_plate",,,15,true,true,false,false,,false,false,0,true,false,ff141821
"rainbow:blue_800_lit",,,15,true,true,false,false,,false,false,15,true,false,ff141821
"rainbow:blue_800_lamp",,,15,true,true,false,false,,false,false,15,true,false,ff141821
"rainbow:blue_800_glass",,,5,true,true,false,false,,false,false,0,true,false,ff141821
"rainbow:blue_900_block",,,15,true,true,false,false,,false,false,0,true,false,ff111218
"rainbow:blue_900_plate",,,15,true,true,false,false,,false,false,0,true,false,ff111218
"rainbow:blue_900_lit",,,15,true,true,false,false,,false,false,15,true,false,ff111218
"rainbow:blue_900_lamp",,,15,true,true,false,false,,false,false,15,true,false,ff111218
"rainbow:blue_900_glass",,,5,true,true,false,false,,false,false,0,true,false,ff111218
"rainbow:brown_50_block",,,15,true,true,false,false,,false,false,0,true,false,ffffffff
"rainbow:brown_50_plate",,,15,true,true,false,false,,false,false,0,true,false,ffffffff
